phi,r,z
1.832226,2.464117,1.268476
1.834835,2.464280,1.268271
1.837443,2.464447,1.268060
1.840051,2.464616,1.267843
1.842659,2.464787,1.267620
1.845267,2.464962,1.267391
1.847874,2.465139,1.267157
1.850480,2.465319,1.266916
1.853087,2.465501,1.266670
1.855693,2.465686,1.266418
1.858299,2.465874,1.266160
1.860904,2.466064,1.265896
1.863509,2.466257,1.265626
1.866114,2.466453,1.265350
1.868719,2.466651,1.265068
1.871323,2.466852,1.264781
1.873926,2.467056,1.264488
1.876530,2.467263,1.264189
1.879132,2.467472,1.263884
1.881735,2.467683,1.263573
1.884337,2.467897,1.263256
1.886939,2.468114,1.262933
1.889540,2.468334,1.262605
1.892141,2.468556,1.262271
1.894742,2.468781,1.261931
1.897342,2.469008,1.261585
1.899942,2.469239,1.261233
1.902541,2.469471,1.260875
1.905140,2.469707,1.260512
1.907738,2.469944,1.260142
1.910336,2.470185,1.259767
1.912934,2.470428,1.259386
1.915531,2.470674,1.258999
1.918128,2.470922,1.258607
1.920724,2.471173,1.258208
1.923320,2.471427,1.257804
1.925915,2.471683,1.257394
1.928510,2.471941,1.256978
1.931104,2.472202,1.256556
1.933698,2.472466,1.256128
1.936291,2.472733,1.255695
1.938884,2.473002,1.255256
1.941476,2.473273,1.254811
1.944068,2.473547,1.254360
1.946660,2.473824,1.253903
1.949251,2.474103,1.253441
1.951841,2.474384,1.252972
1.954431,2.474669,1.252498
1.957020,2.474955,1.252019
1.959609,2.475245,1.251533
1.962197,2.475536,1.251042
1.964785,2.475831,1.250544
1.967372,2.476127,1.250042
1.969959,2.476427,1.249533
1.972545,2.476729,1.249018
1.975130,2.477033,1.248498
1.977715,2.477340,1.247972
1.980300,2.477649,1.247440
1.982883,2.477961,1.246903
1.985467,2.478275,1.246359
1.988049,2.478592,1.245810
1.990631,2.478911,1.245255
1.993213,2.479232,1.244695
1.995794,2.479556,1.244128
1.998374,2.479883,1.243556
2.000954,2.480212,1.242978
2.003533,2.480543,1.242395
2.006111,2.480877,1.241805
2.008689,2.481213,1.241210
2.011267,2.481552,1.240609
2.013843,2.481893,1.240003
2.016419,2.482237,1.239391
2.018995,2.482582,1.238773
2.021569,2.482931,1.238149
2.024143,2.483281,1.237520
2.026717,2.483634,1.236884
2.029290,2.483990,1.236244
2.031862,2.484348,1.235597
2.034433,2.484708,1.234945
2.037004,2.485070,1.234287
2.039574,2.485435,1.233623
2.042144,2.485803,1.232954
2.044713,2.486172,1.232279
2.047281,2.486544,1.231598
2.049848,2.486918,1.230912
2.052415,2.487295,1.230220
2.054981,2.487674,1.229522
2.057547,2.488055,1.228819
2.060111,2.488438,1.228110
2.062675,2.488824,1.227395
2.065239,2.489212,1.226675
2.067801,2.489603,1.225949
2.070363,2.489995,1.225217
2.072924,2.490390,1.224480
2.075485,2.490787,1.223737
2.078044,2.491187,1.222988
2.080603,2.491588,1.222234
2.083162,2.491992,1.221474
2.085719,2.492398,1.220708
2.088276,2.492807,1.219937
2.090832,2.493217,1.219161
2.093387,2.493630,1.218378
2.095942,2.494045,1.217590
2.098495,2.494462,1.216797
2.101048,2.494881,1.215997
2.103601,2.495303,1.215193
2.106152,2.495727,1.214382
2.108703,2.496153,1.213566
2.111253,2.496581,1.212745
2.113802,2.497011,1.211918
2.116350,2.497443,1.211085
2.118898,2.497878,1.210247
2.121444,2.498314,1.209403
2.123990,2.498753,1.208553
2.126536,2.499194,1.207699
2.129080,2.499637,1.206838
2.131623,2.500082,1.205972
2.134166,2.500529,1.205100
2.136708,2.500979,1.204223
2.139249,2.501430,1.203340
2.141790,2.501883,1.202452
2.144329,2.502339,1.201558
2.146868,2.502796,1.200659
2.149406,2.503256,1.199754
2.151943,2.503717,1.198844
2.154479,2.504181,1.197928
2.157014,2.504647,1.197007
2.159549,2.505114,1.196080
2.162082,2.505584,1.195148
2.164615,2.506056,1.194210
2.167147,2.506529,1.193266
2.169678,2.507005,1.192318
2.172209,2.507483,1.191363
2.174738,2.507962,1.190404
2.177266,2.508444,1.189438
2.179794,2.508927,1.188468
2.182321,2.509413,1.187492
2.184847,2.509900,1.186510
2.187372,2.510389,1.185523
2.189896,2.510880,1.184531
2.192419,2.511374,1.183533
2.194942,2.511869,1.182529
2.197463,2.512365,1.181520
2.199984,2.512864,1.180506
2.202503,2.513365,1.179487
2.205022,2.513867,1.178462
2.207540,2.514372,1.177431
2.210057,2.514878,1.176395
2.212573,2.515386,1.175354
2.215089,2.515896,1.174308
2.217603,2.516407,1.173256
2.220116,2.516921,1.172198
2.222629,2.517436,1.171135
2.225140,2.517953,1.170067
2.227651,2.518472,1.168994
2.230161,2.518993,1.167915
2.232669,2.519515,1.166831
2.235177,2.520039,1.165741
2.237684,2.520565,1.164646
2.240190,2.521093,1.163546
2.242695,2.521622,1.162441
2.245199,2.522153,1.161330
2.247702,2.522686,1.160213
