t,sum_log_stretch
3936.331691,164.356514
3940.107198,164.731398
3943.869752,165.086281
3947.616074,165.175741
3951.342595,165.476487
3955.045213,165.825754
3958.719089,166.166958
3962.358722,166.491997
3965.958102,166.836933
3969.510871,167.241762
3973.010662,167.516052
3976.451589,167.638746
3979.828699,167.912289
3983.138328,168.176457
3986.378302,168.378862
3989.547977,168.541470
3992.648119,168.638470
3995.680705,168.719572
3998.648658,168.928733
4001.555582,169.259326
4004.405502,169.569382
4007.202633,169.801449
4009.951202,169.962706
4012.655314,170.081495
4015.318862,170.188807
4017.945478,170.302049
4020.538506,170.418943
4023.100997,170.529074
4025.635722,170.625560
4028.145181,170.706944
4030.631629,170.774609
4033.097094,170.830437
4035.543402,170.875651
4037.972196,170.910518
4040.384958,170.934471
4042.783024,170.946323
4045.167602,170.944393
4047.539789,170.926444
4049.900578,170.889416
4052.250875,170.828818
4054.591505,170.737435
4056.923226,170.602240
4059.246731,170.395096
4061.562658,170.030071
4063.871597,167.920368
4066.174095,169.894635
4068.470656,170.120611
4070.761753,170.098227
4073.047827,169.629832
4075.329290,170.056530
4077.606532,170.660497
4079.879917,171.012602
4082.149793,171.273838
4084.416490,171.485272
4086.680321,171.664237
4088.941586,171.819884
4091.200573,171.957719
4093.457562,172.081352
4095.712820,172.193305
4097.966609,172.295420
4100.219183,172.389096
4102.470793,172.475428
4104.721683,172.555293
4106.972096,172.629414
4109.222272,172.698399
4111.472450,172.762768
4113.722869,172.822978
4115.973770,172.879441
4118.225395,172.932533
4120.477990,172.982606
4122.731803,173.029993
4124.987090,173.075018
4127.244112,173.117991
4129.503139,173.159212
4131.764448,173.198968
4134.028329,173.237530
4136.295080,173.275146
4138.565018,173.312035
4140.838471,173.348383
4143.115787,173.384338
4145.397332,173.420009
4147.683495,173.455465
4149.974689,173.490738
4152.271356,173.525835
4154.573968,173.560749
4156.883033,173.595476
4159.199096,173.630032
4161.522748,173.664471
4163.854628,173.698888
4166.195432,173.733417
4168.545916,173.768215
4170.906908,173.803438
4173.279314,173.839213
4175.664131,173.875631
4178.062454,173.912734
4180.475494,173.950542
4182.904588,173.989061
4185.351219,174.028309
4187.817032,174.068307
4190.303853,174.109029
4192.813711,174.150302
4195.348861,174.191629
4197.911806,174.232011
4200.505314,174.269865
4203.132441,174.303203
4205.796533,174.330280
4208.501229,174.350742
4211.250438,174.367052
4214.048287,174.385619
4216.899041,174.415789
4219.806962,174.461260
4222.776128,174.513217
4225.810179,174.575256
4228.912030,174.680011
4232.083556,174.835558
4235.325322,175.018715
4238.636410,175.234281
4242.014398,175.466200
4245.455527,175.653727
4248.954989,175.749917
4252.507239,175.769191
4256.106281,175.778730
4259.745994,175.867035
4263.420410,176.027045
4267.123856,176.322834
4270.851065,176.625591
4274.597364,176.874852
4278.358774,177.062408
4282.132005,177.186817
4285.914541,177.243480
4289.704555,177.496277
4293.500451,177.806038
4297.300492,178.163261
4301.102861,178.478173
4304.905815,178.783349
4308.707777,179.015463
4312.507522,179.082500
4316.304107,179.424837
4320.096370,179.774929
4323.882520,180.153914
4327.660176,180.504172
4331.426468,180.875161
4335.178057,181.193860
4338.911258,181.275110
4342.622044,181.603320
4346.305827,181.940237
4349.957339,182.275179
4353.570767,182.588964
4357.139926,182.932764
4360.658472,183.332174
4364.120297,183.594105
4367.520025,183.718840
4370.853438,183.982836
4374.117766,184.238021
4377.311796,184.429432
4380.435819,184.580797
4383.491433,184.664889
4386.481291,184.700164
4389.408811,184.820674
4392.277914,185.112652
4395.092777,185.444515
4397.857643,185.716412
4400.576667,185.915730
4403.253822,186.059646
4405.892829,186.172283
4408.497130,186.275448
4411.069876,186.380684
4413.613931,186.487429
4416.131884,186.589455
4418.626073,186.681655
4421.098601,186.762111
4423.551361,186.831188
4425.986057,186.890156
4428.404224,186.940277
4430.807247,186.982392
4433.196377,187.016836
4435.572748,187.043531
4437.937386,187.062108
4440.291227,187.072032
4442.635124,187.072669
4444.969856,187.063344
4447.296138,187.043378
4449.614627,187.012160
4451.925929,186.969316
